name,price,img,url,description,people,cabins,year
Antila 27,320.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-27-igp284sgdjw9zqzip3dn2i9lzqip.webp,https://zegluj.pl/jacht/antila-27/1984,Jacht jest tej chwili w budowie zdjęcia jachtu będzie dopiero dostępnie  początek sezonu.,10,3,2026
Sanat 22 HT,1150.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/sanat-22-ht-1qhyjxnaga3q2lv67jo14atda6bg.webp,https://zegluj.pl/jacht/sanat-22-ht/2042,"Motorówka kabinowa Sanat 22 HT z silnikiem 115 KM, dwiema podwójnymi kojami (nocleg dla 4 osób), łazienką z toaletą elektryczną i prysznicem z ciepłą wodą, kambuzem z...",7,1,2026
Antila 30,700.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-30-yejcdun5at46unhk8m21ftkaza34.webp,https://zegluj.pl/jacht/antila-30/2503,Antila 30 – najnowszy komfortowy jacht. Przeznaczony dla osób lubiących sportowe żeglowanie oraz ceniących komfort i nowoczesność. Jacht posiada super właściwości...,10,3,2026
Antila 24.4,260.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-24-4-p0vm7sqgyctqhartyg16drw0fft9.webp,https://zegluj.pl/jacht/antila-24-4/2508,"Zdjęcia przedstawiają bliźniaczą jednostkę, zbudowaną rok wcześniej Jacht wyposażony w Bimini, szprycbudę, łącznik",8,0,2026
Antila 30,550.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-30-htx61dkr2dgeoxotb384amvfc24n.webp,https://zegluj.pl/jacht/antila-30/2514,,10,3,2026
Maxus 34,650.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/maxus-34-nebsvj7x59hb551pw6dasc5bopmy.webp,https://zegluj.pl/jacht/maxus-34/2515,,10,3,2026
Antila 33.3,950.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-33-3-6nsz1zex6pkj9rcc8pqwlczagpvx.webp,https://zegluj.pl/jacht/antila-33-3/2520,"Anitla 33.3 to następca znanej i lubianej Antili 33. To nowoczesny jacht , podążający za światowymi trendami. Atrakcyjna, dynamiczna sylwetka jachtu połączona z...",10,3,2026
Antila 28.2,620.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-28-2-e5wq3g6kinazjcoufny2vzzl0l99.webp,https://zegluj.pl/jacht/antila-28-2/2524,"Antila 28.2 – NOWA 2026 | Wersja Premium | Ster strumieniowy | Elektryczne WC Prezentujemy fabrycznie nową Antilę 28.2, odebraną w tym roku bezpośrednio ze stoczni...",10,3,2026
Antila 33,850.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-33-apnqehg4dq82vvzjw2b8ipopweye.webp,https://zegluj.pl/jacht/antila-33/2587,,8,3,2026
Stillo 31,950.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/stillo-31-t077ijeirg16seddgf7y8sjh0r1h.webp,https://zegluj.pl/jacht/stillo-31/2594,Zdjęcia poglądowe. Stillo 31 – Premiera 2024! jest to ulepszona wersja cenionego jachtu Stillo 30: Szersze...,8,3,2026
SunCamper 36,750.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/suncamper-36-jstivv7adplikrh6ovxmrv9mz7id.webp,https://zegluj.pl/jacht/suncamper-36/2598,,7,2,2026
Maxus 30,600.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/maxus-30-98i8ke68k0m2gb23ykf2e4m547ks.webp,https://zegluj.pl/jacht/maxus-30/2637,"Maxus 30 - nowość na rynku ! To jedyny taki jacht p długości 30 stóp, którym zacumujesz na dziko… a dlaczego? Jest to jacht wyposażony w ster na pawęży z silnikiem...",10,3,2026
Antila 28.2,730.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-28-2-b4ac74rlcsn2msabnczrj8atl1j8.webp,https://zegluj.pl/jacht/antila-28-2/2658,Wszystkie nasze jednostki przed czarterem są sprzątane i dezynfekowanie.W trosce o wysoką jakość usług opłata za sprzątanie jachtu jest opłatą stałą -...,10,3,2026
Viko S 22,270.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/viko-s-22-b4r1dkoulz04je35rywx3olspd12.webp,https://zegluj.pl/jacht/viko-s-22/2668,"Dolce Vento – kameralny rejs dla 2-4 osób na nowoczesnym jachcie VIKO S22. Idealny na mazurski rejs we włoskim stylu, romantyczny długi weekend, chillout na wodzie lub...",6,0,2026
Nautika 830,550.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/nautika-830-21ukmj3ysgfojbpnhy52p3pzqms8.webp,https://zegluj.pl/jacht/nautika-830/2670,"Nautika 830To nowoczesny jacht typu houseboat , który idealnie sprawdza się na MazurachKomfortowa ,przestronna i bardzo stabilna jednostka zapewnia wygodne pływanie...",6,2,2026
Legion 360,1000.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/legion-360-7ketdmngflobv34qly0nbrai9pea.webp,https://zegluj.pl/jacht/legion-360/1773,"Najnowszy i najnowocześniejszy Polski jacht żaglowy posiadający znakomite właściwości nautyczne, imponującą przestrzeń oraz wiele innowacyjnych rozwiązań. Ekscytujący...",9,3,2025
Phobos 24.5,400.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/phobos-24-5-qbgumqigzxph6ae8p1je8am935go.webp,https://zegluj.pl/jacht/phobos-24-5/2033,"Phobos 24.5 to kontynuacja udanej serii turystycznych Phobosów 21, 25 i 27. Szybki, zwinny i łatwy w obsłudze. Choć stylistycznie i programowo nawiązuje do starszych...",7,1,2025
Antila 33.3,800.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-33-3-y9rf93bdfr3rj3ibfw62ermdyuep.webp,https://zegluj.pl/jacht/antila-33-3/2243,,10,3,2025
Phobos 21,300.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/phobos-21-7upxq4gaphynzv27wlq03k04062t.webp,https://zegluj.pl/jacht/phobos-21/2248,,4,0,2025
Antila 30.1,550.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-30-1-4poflujai4l71j0taql5fx3yg1z5.webp,https://zegluj.pl/jacht/antila-30-1/2257,,8,3,2025
Antila 30,650.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-30-g1k6devael30y0k9cht138h1qoso.webp,https://zegluj.pl/jacht/antila-30/2259,Komfortowy jacht przeznaczony dla osób lubiących sportowe żeglowanie oraz ceniących komfort i nowoczesność. Jacht posiada super właściwości nautyczne co w połączeniu z...,10,3,2025
Antila 28.2,590.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-28-2-kafqwiv2j67gkull6ij3g6qdgj72.webp,https://zegluj.pl/jacht/antila-28-2/2262,,8,3,2025
Antila 30,700.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-30-12x8cy3zgfdypkxws21305xyvhho.webp,https://zegluj.pl/jacht/antila-30/2263,"Jacht w trakcie budowy, pierwsze czartery już od majówki 2025. Zdjęcia poglądowe, możliwy inny kolor drewna i tapicerki.",10,3,2025
Antila 30,450.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-30-js7zht8gtmt8xh08itj282gc57ul.webp,https://zegluj.pl/jacht/antila-30/2279,,9,3,2025
SunCamper 31,650.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/suncamper-31-f82at3ovmxceduaq0q9e5haelwkx.webp,https://zegluj.pl/jacht/suncamper-31/2283,,7,2,2025
Antila 26.2,450.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-26-2-rvw7aj80en2wi75mwnw0ev8h1j5s.webp,https://zegluj.pl/jacht/antila-26-2/2284,,8,2,2025
Weekend 820,490.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/weekend-820-m8gwt5qq6qhmeictw9zhz1s8v2bv.webp,https://zegluj.pl/jacht/weekend-820/2288,,6,0,2025
Antila 24.4,350.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-24-4-oipsirhy6d6lza3yoydy8nk8yseq.webp,https://zegluj.pl/jacht/antila-24-4/2292,,8,0,2025
Stillo 31,1000.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/stillo-31-x0nc9ddd85wpn1v322gedl3iuaa8.webp,https://zegluj.pl/jacht/stillo-31/2314,,8,3,2025
Sen 749,300.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/sen-749-qyt2yio954wsrrei9pkjtqa035h0.webp,https://zegluj.pl/jacht/sen-749/2326,"Jest taki jacht, który zna Mazury lepiej niż ktokolwiek z nas. Ma dopiero rok, a już opowiadają o nim szeptem przy kei - to nie kolejny nudny jacht, których wiele.Nowy...",6,0,2025
Maxus 33.1 RS,750.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/maxus-33-1-rs-mwkdrh22qjnrunzo32b76iln4jhi.webp,https://zegluj.pl/jacht/maxus-33-1-rs/2350,,10,3,2025
Nikhen Aquasun 34,,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/nikhen-aquasun-34-grw6yc13irn3pvaad65irx70bxw0.webp,https://zegluj.pl/jacht/nikhen-aquasun-34/2382,"Przedstawiamy Nikhen Aquasun 34 Aftcab – nowoczesny, luksusowy houseboat dostępny w naszej flocie czarterowej. To idealny wybór dla miłośników komfortowej żeglugi po...",8,3,2025
Odysseya S36,850.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/odysseya-s36-nxwyjncmrli4qhg37y6y35p07ud6.webp,https://zegluj.pl/jacht/odysseya-s36/2414,,8,3,2025
Sea Ray SPX 230,1920.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/sea-ray-spx-230-p6i1ucyjm7gryrownzpg660fe7u9.webp,https://zegluj.pl/jacht/sea-ray-spx-230/2421,,12,0,2025
Sea-Doo Spark Trixx 3up 90,1100.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/sea-doo-spark-trixx-3up-90-ynl0nregvvw3w0rntt5nadpiz5at.webp,https://zegluj.pl/jacht/sea-doo-spark-trixx-3up-90/2427,,3,0,2025
Antila 24.4,350.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-24-4-1cy4i9d6so9sjyg7sfp8z96ez3oh.webp,https://zegluj.pl/jacht/antila-24-4/2432,"Zatrać się w ciszy mazurskich jezior – czarteruj Antilę 24.4 z silnikiem elektrycznym!

Marzysz o spokojnym rejsie wśród malowniczych zatok, gdzie słychać jedynie szum...",8,0,2025
Maxus 30,456.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/maxus-30-e9x2okyzheamcfpq91hxtq80462i.webp,https://zegluj.pl/jacht/maxus-30/2453,"Nowość – Maxus 30 to jacht dla wymagających. Elegancki, przestronny i świetnie wyposażony, sprawdzi się zarówno podczas rodzinnych rejsów, jak i wypraw z...",10,3,2025
Antila 26.2,450.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-26-2-jt8ozaap31xqhtmrymi228rwiqvy.webp,https://zegluj.pl/jacht/antila-26-2/2457,,8,1,2025
Aquatic 28,450.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/aquatic-28-2wa2tfbev40wrhc0k8kgxcte1jhm.webp,https://zegluj.pl/jacht/aquatic-28/2458,,8,3,2025
Platinum 40,1250.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/platinum-40-oe5c0vbimbhkh8ijdgjec0f92pxp.webp,https://zegluj.pl/jacht/platinum-40/2459,"Nowy jacht Platinum 40 Fly na sezon 2025, posiadająca szereg modyfikacji i udogodnień mających na celu zwiększenie  komfortu naszych klientów.Nowy kambuz, powiększony...",8,4,2025
Antila 26.2,430.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-26-2-xvm37pnzn3ttpfkobz22l96ensp7.webp,https://zegluj.pl/jacht/antila-26-2/2473,"Jacht wbrew obiegowej opiniii nie jest liftem antili 26cc ( zmieniony kształt dna , duże okna , ogromna huntkoja rufowa ) znakomite właściwości nautyczne , ref grota...",8,2,2025
LY 30+,1200.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/ly-30-50v0dieua7jjm76leepzole9siey.webp,https://zegluj.pl/jacht/ly-30/2487,,10,2,2025
Shine 26,350.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/shine-26-pdlvmeezi56thbzcqjw4dwsj2355.webp,https://zegluj.pl/jacht/shine-26/2488,,6,0,2025
Antila 30.1,800.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-30-1-1let4sbyhjhqyibr0o07rdj0f52f.webp,https://zegluj.pl/jacht/antila-30-1/2496,"Anitla 30 to  nowoczesny jacht , podążający za światowymi trendami. Atrakcyjna, dynamiczna sylwetka jachtu połączona z ergonomicznym ukształtowaniem pokładu oraz...",10,3,2025
Antila 28.2,500.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-28-2-9m3krqw4dfwflvickp4btrekmxrr.webp,https://zegluj.pl/jacht/antila-28-2/2509,,10,3,2025
Stillo 31,900.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/stillo-31-k2ifvcsc31qtf4s47h1p1h5yxq7n.webp,https://zegluj.pl/jacht/stillo-31/2529,"Stillo 31 to przestronny jacht motorowy z trzema kabinami, wygodnym kokpitem i nowoczesnym układem wnętrza. Jednostka dobrze sprawdza się na dłuższych rejsach po...",8,3,2025
Northman 1300 Trawler,1600.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/northman-1300-trawler-yh3ix2y3rvq1v7mvl10x6b2wo8fn.webp,https://zegluj.pl/jacht/northman-1300-trawler/2541,,8,3,2025
Antila 33.3,650.0,https://zegluj.plhttps://yachtcms.s3.waw.io.cloud.ovh.net/antila-33-3-4iz0mzmbnm3qi5o1ra62rou06ocw.webp,https://zegluj.pl/jacht/antila-33-3/2560,Piękna linia kadłuba ( przypominająca trochę serie morskich jachtów Elan z charakterystycznym załamaniem nadburcia ) w połączeniu z wygodnym kokpitem z 2 kołami...,10,3,2025
